file	current_state	tradition	bucket	proposed_latest	notes
wakea.md	EMPTY_LATEST	Hawaiian / Polynesian religion (Kumulipo — Hawaiian creation chant)	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bPolynesian
white-buffalo-calf-woman.md	EMPTY_LATEST	Lakota	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bLakota
wi-sun-lakota.md	EMPTY_LATEST	Lakota	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bLakota
wiraqocha.md	MISSING_BOTH		NEEDS_BOTH		both fields absent
xi-wangmu.md	EMPTY_LATEST	Chinese folk religion / Daoism	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bDaoism
xuanwu.md	MISSING_BOTH		NEEDS_BOTH		both fields absent
yama-vedic.md	EMPTY_LATEST	Vedic Hinduism (continued in Puranic Hinduism, Buddhism, Jainism)	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bHindu
yamantaka.md	EMPTY_LATEST	Vajrayana Buddhism (Geluk, Sakya, Nyingma)	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bBuddhi
yashoda.md	EMPTY_LATEST	Vaishnavism / Bhakti	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bVaishnav
yemoja.md	EMPTY_LATEST	Yoruba	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bYoruba
zao-jun.md	MISSING_BOTH	Chinese	NEEDS_BOTH		both fields absent
zhenwu.md	MISSING_BOTH		NEEDS_BOTH		both fields absent
